,Link,Job Title,Company,Rating,Location,Salary,Date
14,https://in.indeed.com/company/DecisionAttic/jobs/Data-Analyst-a4ae4f053374ac79?fccid=a43b0f3ca58982b0&vjs=3,Data Analyst,DecisionAttic,N/A,"Bengaluru, Karnataka","₹3,50,000 - ₹6,50,000 a year",PostedPosted 30+ days ago
15,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdBecNwvrHUtCml2fyFLgVE1sfQWF7pkveY6fi3tZEIR8v_wYWixq_bO8KiKCVALewkE8i88Ougzuj98dAl4NaiUBe01rDRPoFww8OC5T91DBBqmYF5y3DvGaFh6rl0LKDsjCr5Jmz3tk5NSjQp86jP2yZfj-UaL6oG5Yon-R1UFuJZypgh9Js--AydEQFqRO9DEVyTRVFuKL-1xRDHTNZJRbK__As2nmNQhKtXWSY0m34rQVyUpOSGd3vus912v5sk8fn0bzh4aKb2PSuO0G_wYYMzVxIxxTZc-vU2qD6y1WG_MimdmBjwhYdL181qUK6DFQIcroDcGv7_9fCKKlPVU6xb5OL0238vRsgc9e19Q13H_33a2B50aOnLUjVEtdut-cq9rvL8y_n0HRDfUo7J_LlKKXByvsSf-I131jBtoAbzrJuCmN5FdJjjzMk6nbc4vFiwnI47ljdukj0vhZKh-dFvOEDbwxJNrWPY4ew8CJ1tIQxIpF8wekU5RY36gGG9MYxCzHEW0pBongWOOUkS03xd72oGa3DMPtS_ztuuMgSnbcbFMWhGPKlZaMT_4TtcGmJodHhl_7FTVwKDH0Cew==&xkcb=SoCP-_M3VpKq5bQFoB0LbzkdCdPP&p=14&fvj=0&vjs=3,Senior Quantitative Analytics Specialist,WELLS FARGO BANK,3.7,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
16,https://in.indeed.com/rc/clk?jk=4024a02e726b96d4&fccid=a3163e1f583839d0&vjs=3,Statistical Programmer Analyst,Labcorp,3.4,"Bengaluru, Karnataka",N/A,PostedToday
17,https://in.indeed.com/rc/clk?jk=0f6144b8ac14079d&fccid=1cf27fbaf43c9a44&vjs=3,Junior Data Analyst,LeadIndia Manpower Services,N/A,"Bengaluru, Karnataka","₹4,00,000 - ₹5,00,000 a year",PostedPosted 4 days ago
18,https://in.indeed.com/company/Ranger-apparel-export-pvt-ltd/jobs/Mis-Data-Analyst-d7e50b9bd1921790?fccid=ac0184558c30e3c4&vjs=3,MIS Data Analyst,Ranger Apparel Export Pvt Ltd,N/A,"Bengaluru, Karnataka","₹6,00,000 - ₹9,00,000 a year",PostedPosted 30+ days ago
19,https://in.indeed.com/rc/clk?jk=3a0fdf6c5afde9e0&fccid=5bed0b5dcbf1bc17&vjs=3,Data Analyst,Truecaller,N/A,"Bengaluru, Karnataka",N/A,PostedPosted 30+ days ago
20,https://in.indeed.com/company/SignDesk.com/jobs/Data-Mining-Analyst-0269848a30c59080?fccid=4c0261b769e72e3f&vjs=3,Data Mining Analyst,SignDesk.com,N/A,"Malleswaram, Karnataka","₹20,000 - ₹22,000 a month",PostedPosted 5 days ago
21,https://in.indeed.com/company/Mudra-Multiplier/jobs/Data-Analyst-22d6f6f2fc2a09c0?fccid=313c63f260e9f254&vjs=3,Data Analyst,Multiplier Brand Solutions Pvt ltd,N/A,"Indiranagar, Bengaluru, Karnataka","Up to ₹60,000 a month",PostedPosted 30+ days ago
22,https://in.indeed.com/rc/clk?jk=83ff50e9b36cf315&fccid=978d9fd9799d55a8&vjs=3,Data Analyst 2,PayPal,3.9,"Bengaluru, Karnataka",N/A,PostedPosted 4 days ago
23,https://in.indeed.com/company/Zotto-Ltd/jobs/Data-Analyst-79a3a4689b683296?fccid=1cdd2ca288471efb&vjs=3,Data Analyst,Zotto Ltd,N/A,"Bengaluru, Karnataka","₹30,000 - ₹40,000 a month",PostedPosted 30+ days ago
